User ID,Movie ID,Rating
3,1,8
3,32,9
3,50,10
3,111,8
3,172,8
3,173,6
3,260,8
3,293,10
3,296,10
3,310,9
3,318,8
3,356,8
3,442,7
3,480,4
3,527,8
3,541,10
3,589,8
3,593,8
3,741,10
3,778,10
3,780,7
3,858,10
3,913,8
3,924,10
3,1089,8
3,1127,7
3,1196,8
3,1198,6
3,1200,8
3,1201,8
3,1208,8
3,1210,8
3,1213,10
3,1214,8
3,1221,10
3,1222,8
3,1240,8
3,1252,10
3,1270,7
3,1274,9
3,1320,7
3,1356,8
3,1527,9
3,1584,8
3,1653,10
3,1676,7
3,1682,8
3,1732,9
3,1748,9
3,1882,4
3,1909,8
3,1960,8
3,2021,8
3,2105,6
3,2329,10
